created_at,created_at,station.uuid,rssi,us_units
2014-10-17 01:38:03,2014-10-17 01:38:03,202481588171316,0,1
2014-10-17 01:42:32,2014-10-17 01:42:32,42,117,1
2014-10-17 01:44:03,2014-10-17 01:44:03,202481588171316,0,1
2014-10-17 01:47:32,2014-10-17 01:47:32,42,117,1
2014-10-17 01:50:01,2014-10-17 01:50:01,202481588171316,0,1
2014-10-17 01:52:32,2014-10-17 01:52:32,42,105,1
2014-10-17 01:55:03,2014-10-17 01:55:03,202481588171316,0,1
2014-10-17 01:57:32,2014-10-17 01:57:32,42,116,1
2014-10-17 02:01:02,2014-10-17 02:01:02,202481588171316,0,1
2014-10-17 02:02:32,2014-10-17 02:02:32,42,107,1
2014-10-17 02:07:02,2014-10-17 02:07:02,202481588171316,0,1
2014-10-17 02:07:32,2014-10-17 02:07:32,42,94,1
2014-10-17 02:12:33,2014-10-17 02:12:33,42,112,1
2014-10-17 02:13:03,2014-10-17 02:13:03,202481588171316,0,1
2014-10-17 02:17:33,2014-10-17 02:17:33,42,106,1
2014-10-17 02:19:03,2014-10-17 02:19:03,202481588171316,0,1
2014-10-17 02:22:32,2014-10-17 02:22:32,42,103,1
2014-10-17 02:25:03,2014-10-17 02:25:03,202481588171316,0,1
2014-10-17 02:27:32,2014-10-17 02:27:32,42,112,1
2014-10-17 02:31:07,2014-10-17 02:31:07,202481588171316,0,1
2014-10-17 02:32:32,2014-10-17 02:32:32,42,104,1
2014-10-17 02:37:01,2014-10-17 02:37:01,202481588171316,0,1
2014-10-17 02:37:33,2014-10-17 02:37:33,42,102,1
2014-10-17 02:42:04,2014-10-17 02:42:04,202481588171316,0,1
2014-10-17 02:42:33,2014-10-17 02:42:33,42,111,1
2014-10-17 02:47:33,2014-10-17 02:47:33,42,115,1
2014-10-17 02:48:03,2014-10-17 02:48:03,202481588171316,0,1
2014-10-17 02:52:33,2014-10-17 02:52:33,42,47,1
2014-10-17 02:52:34,2014-10-17 02:52:34,42,110,1
2014-10-17 02:54:03,2014-10-17 02:54:03,202481588171316,0,1
2014-10-17 02:57:33,2014-10-17 02:57:33,42,49,1
2014-10-17 03:00:01,2014-10-17 03:00:01,202481588171316,0,1
2014-10-17 03:02:33,2014-10-17 03:02:33,42,50,1
2014-10-17 03:06:01,2014-10-17 03:06:01,202481588171316,0,1
2014-10-17 03:07:33,2014-10-17 03:07:33,42,55,1
2014-10-17 03:11:02,2014-10-17 03:11:02,202481588171316,0,1
2014-10-17 03:12:33,2014-10-17 03:12:33,42,54,1
2014-10-17 03:12:34,2014-10-17 03:12:34,42,108,1
2014-10-17 03:17:04,2014-10-17 03:17:04,202481588171316,0,1
2014-10-17 03:17:33,2014-10-17 03:17:33,42,114,1
2014-10-17 03:22:34,2014-10-17 03:22:34,42,99,1
2014-10-17 03:23:04,2014-10-17 03:23:04,202481588171316,0,1
2014-10-17 03:27:39,2014-10-17 03:27:39,42,118,1
2014-10-17 03:29:03,2014-10-17 03:29:03,202481588171316,0,1
2014-10-17 03:32:34,2014-10-17 03:32:34,42,114,1
2014-10-17 03:35:03,2014-10-17 03:35:03,202481588171316,0,1
2014-10-17 03:37:34,2014-10-17 03:37:34,42,100,1
2014-10-17 03:41:03,2014-10-17 03:41:03,202481588171316,0,1
2014-10-17 03:42:34,2014-10-17 03:42:34,42,111,1
2014-10-17 03:47:04,2014-10-17 03:47:04,202481588171316,0,1
2014-10-17 03:47:34,2014-10-17 03:47:34,42,92,1
2014-10-17 03:52:34,2014-10-17 03:52:34,42,116,1
2014-10-17 03:53:01,2014-10-17 03:53:01,202481588171316,0,1
2014-10-17 03:57:34,2014-10-17 03:57:34,42,113,1
2014-10-17 03:58:04,2014-10-17 03:58:04,202481588171316,0,1
2014-10-17 04:02:34,2014-10-17 04:02:34,42,114,1
2014-10-17 04:04:04,2014-10-17 04:04:04,202481588171316,0,1
2014-10-17 04:07:34,2014-10-17 04:07:34,42,99,1
2014-10-17 04:10:03,2014-10-17 04:10:03,202481588171316,0,1
2014-10-17 04:12:34,2014-10-17 04:12:34,42,102,1
2014-10-17 04:16:04,2014-10-17 04:16:04,202481588171316,0,1
2014-10-17 04:17:34,2014-10-17 04:17:34,42,106,1
2014-10-17 04:22:04,2014-10-17 04:22:04,202481588171316,0,1
2014-10-17 04:22:35,2014-10-17 04:22:35,42,103,1
2014-10-17 04:27:34,2014-10-17 04:27:34,42,56,1
2014-10-17 04:27:35,2014-10-17 04:27:35,42,109,1
2014-10-17 04:28:02,2014-10-17 04:28:02,202481588171316,0,1
2014-10-17 04:32:35,2014-10-17 04:32:35,42,100,1
2014-10-17 04:34:03,2014-10-17 04:34:03,202481588171316,0,1
2014-10-17 04:37:35,2014-10-17 04:37:35,42,90,1
2014-10-17 04:40:03,2014-10-17 04:40:03,202481588171316,0,1
2014-10-17 04:42:35,2014-10-17 04:42:35,42,101,1
2014-10-17 04:46:02,2014-10-17 04:46:02,202481588171316,0,1
2014-10-17 04:47:35,2014-10-17 04:47:35,42,105,1
2014-10-17 04:52:03,2014-10-17 04:52:03,202481588171316,0,1
2014-10-17 04:52:35,2014-10-17 04:52:35,42,114,1
2014-10-17 04:57:36,2014-10-17 04:57:36,42,100,1
2014-10-17 04:58:02,2014-10-17 04:58:02,202481588171316,0,1
2014-10-17 05:02:35,2014-10-17 05:02:35,42,101,1
2014-10-17 05:04:04,2014-10-17 05:04:04,202481588171316,0,1
2014-10-17 05:07:35,2014-10-17 05:07:35,42,113,1
2014-10-17 05:10:02,2014-10-17 05:10:02,202481588171316,0,1
2014-10-17 05:12:35,2014-10-17 05:12:35,42,109,1
